c,a
친척들과 노래방 갈 수 있어요? ,비수도권 지역이라면 노래방 출입은 가능하십니다만 방역수칙을 잘 지켜줘야 합니다.
,
추석기간동안 워터파크에 가도 되겠죠,
코로나 치료제는 나오나요?,아직까지 치료제는 확실히 밝혀진게 없습니다.
,
언제 개발되나요?,최근 FDA에서 치료제로 긴급승인이 되긴 했습니다.
,
아그래요? 어떤 약인가요?,"""렘데시비르""입니다."
,
오 다행입니다 .,
코로나 예방 백신은 있을까요?,현재는 알려진 백신이 없습니다.
,
코로나에서 회복되면 면역이 생기나요?,아직까지 재감염에 대한 연구는 진행중입니다.
,
면역이 생기면 좋은텐데 말이죠,
그럼 코로나에 걸리면 치료비는 누가내나요?,국가 및 지자체에서 부담합니다.
,
다행이네요 큰 돈이 들텐데,단 협조하지 않을 경우 지원이 제한됩니다.
,
"아 네, 알겠습니다.",
PC방에 너무 가고 싶은데 가도 되나요?,다중이용시설에 대해서는 개인방역수칙을 잘 지키셔야됩니다.
,
손소독만 잘 하면 되는거 아닌가요?,마스크도 꼭 착용하셔야 합니다.
,
마스크 쉽게 어디서 구매할 수 있나요?,가까운 약국에서 구매하실 수 있습니다. 
,
지방에 가야하는데 대량 구매 가능한가요?,현재는 마스크 물량이 충분해서 언제든 얼마든지 구매가능합니다
,
몇 개까지 살 수 있나요?,원하시는 수량이나 대용양 벌크로 구매가능하십니다. 
,
마스크 이제 구매제한이 풀린건가요?,네 구매제한은없습니다
,
마스크는 사용시간이 어떻게 되나요?,평균적으로 식약청 인정한 일회용마스크 사용시간은 8시간정도입니다
,
꼭 비싼 KF마스크만 써야하나요?,"가급적이면 KF80,94보건용 마스크가 차단율이 높으니 KF인증 검증된 마스크 착용 안전합니다"
,
비싸서 너무 부담스러운데 일반 일회용마스크는 안되나요?,착용안하는것보단 안전하긴합니다 대신 매일 새 마스크로 쓰시는걸 권장합니다
,
아 그렇군요,
그럼 마인증된 방역스크 가격은 어떻게 되나요?,"판매처마다 가격의 차이가 있긴하지만 일반적으로 1,00원~1,500원정도 판매되고있습니다"
,
할인 되는 카드 따로있나요?,마스크 지정판매처에는 따로 카드할인판매는 없습니다
,
알겠습니다. 감사합니다. ,
코로나 감염증상이 없는 경우가 많은가요?,확진자중 소수 일부 무증상자가 있습니다
,코로나증상이있으신가요?
,
회사내에 확진자가 나와서요,아 그러셔군요
,혹시 회사내에서 검사안내는 따로 없으셨나요?
,
확진자가 나왔는데 별다른 안내가 없어서 불안합니다,확진자와 근접한 거리에서 근무를 하셨나요?
,
"근접하지는 않지만 출입시설이나 식당, 공용시설을 같이 써서 불안합니다",혹시 고객님이나 주변분은 의심증상이 없으신가요?
,
아직은 없는것같는것같아요,
혹여나 무증상자라도 있는건 아닌지 불안하고 무섭습니다,사내에서 감염자 속출시에는 정부지원 진료지시가 있겠지만 조금 기다려보셔야할것같습니다
,
코로나 검사 비용이 얼마인가요?,코로나검사 비용은 개인검사시 12~20만원으로 병원마다 상이합니다 
,
코로나 개인검사했는데 사후 회사에서 감염자가 많이 나오면 개인검사비 청구 가능할까요?,개인검사시 확진의 경우와 음성판정이 나왔을시 상황이 다릅니다
,확진자가 나온 사내에서 확진감염시 정부지원은 가능합니다
,
혹시 더 궁금하신 사항이 있으신가요?,
일단 알겠습니다 감사합니다,
코로나 검사관련문의드립니다,네 어떤문의인지 말씀해주세요
,
아버지가 긴급으로 대학병원에 뇌검사후 수술진행될것같은데요,
병원쪽에서 입원전에 코로나검사받고오라네요,
코로나란 전혀 상관이 없으신분인데 검사를 해야하나요?,네 어느병원이든 입원환자는 코로나 검사를 해야하는게 원칙입니다
,
보건소가면 무료 검사가 가능한가요?,보건소는 의심환자만 정부지원으로 무료로 가능합니다
,
그럼 검사비는 온전히 환자부담인건가요?,네 환자분 자부담으로 하셔야합니다
,
코로나 검사비는 어느정도 나오나요?,병원마다 가격은 다릅니다만 7만원~20만원한다고 합니다
,
코로나 검사비 저렴한곳은 없나요?,검사하시고자 하는 지역이 어디신가요?
,
거주기가 대림동입니다,대림동쪽 코로나 비용이 저렴한곳은 한림대학병원입니다
,
아 감사합니다 집근처이네요,
코로나검사는 내일가서 해도되는거죠?,병원측에 문의하셔서 시간예약을 하시고 가시는것이 좋습니다
,
네 감사합니다,
서울시는 마스크 의무착용 인가요?,"네, 그렇습니다."
,
병원에 입원 해 있는 사람들도 마스크를 쓰고 있어야 되요?,"네, 특별한 경우가 아니라면 마스크 착용 하셔야 합니다."
,
병원은 소독 같은것도 잘 되고 하니까 안써도 되지 않아요?,그렇다 하도라도 마스크는 착용하셔야 합니다.
,
마스크 쓰는게 불편한 사람은 어떻해요?,마스크 착용시 호흡이 어려운 호흡기기저질환 환자는 예외입니다.
,
그래요?,수술하고 그런 사람들은 마스크 쓰는게 불편하지 않나요?
,마스크 착용 시 건강이 악화 될 수 있는 중증환자도 예외입니다.
,마스크 착용이 예외되는 사람은 누가 결정해요?
,전문의의 소견이 있어야 예외로 인정 할 수 있습니다.
,의사가 보고 결정 하는 거라고요?
,"네, 그렇습니다."
,그런 경우가 아니면 병원에 입원 해 있어도 마스크는 계속 쓰고 있어야 된다는거죠?
,"네, 맞습니다."
,
마스크 좀 문의드릴게요.,네 말씀하세요.
,
마스크가 너무 비싼데.. 마스크는 일회용인가요?,마스크의 종류가 여러가지가 있습니다. 어떤 마스크 말씀이시죠?
,
제가 쓰고 있는건 의료용 마스크에요.,의료용 마스크의 경우 일회용으로 착용하시고 버리시는걸 권장드립니다.
,
그럼 두 번씩은 못쓰나요?,마스크가 없으신 경우에는 이틀도 사용 하셔도 괜찮습니다.
,
마스크 쓰는 방향이 따로 있다던데요?,네 맞습니다 마스크의 주름이 아래를 향하도록 하고 콧대 부분이 고정될 수 있도록 착용하셔야합니다.
,
왜 주름이 아래로 가야되는데요?,비말이나 먼지가 주름을 타고 내려가도록 해야하는데 반대로 착용하실 경우 비말이나 먼지가 주름사이에 끼어 있을 수 있습니다.
,
아 그렇군요.. 마스크를 벗을때는 어떻게 해야하죠?,마스크 앞쪽을 만지지 마시고 귀쪽 고리를 잡고 빼시면 됩니다.
,
그렇게 하는 이유는요?,마스크 표면에는 감염된 타인의 비말이 묻어 있을 수 있는데 그걸 손으로 만진 뒤 눈코입등을 만지면 비말감염이 될 수 있습니다.
,
네네 좋은정보네요. 이런 정보들을 잘 모른느 사람들이 많은데 좀 공유가 잘 되면 좋곘어요.,웹사이트에서 검색하시면 아실 수 있으시고 질병관리청 홈페이지에도 게시될 수 있도록 하겠습니다.
,
올 ~~ 네네 감사합니다 !!,네 감사합니다.
,
마스크 구매 하고 싶은데 지금 다 품절이라는데 어떻게 해요?,마스크 구매 안내해드리겠습니다.
,마스크 구매하시려는 지역 어디신가요?
,마스크는 주민번호 끝자리에 따라 지정된 날짜에 인당 2매씩 구매하실 수 있습니다.
,
그럼 그 날에만 맞춰서 사야되는거네요,네 맞습니다.
,
근데 아니 어떻게 두 개만 가지고 일주일을 살 수 있어요?,현재 마스크 공급량이 부족하여 마스크 요일제를 시행하고 있습니다.
,
썻던 마스크를 또 써도 되는거에요?,하루마다 새 마스크를 착용하지 않으셔도 비말 차단이 가능하다고 안내하고 있습니다.
,
굉장히 찝찝하네요. 아무데서나 살 수 있어요?,약국에서 판매되고 있습니다.
,
근데 다이소 이런데나 인터넷에서 사도 되긴 하는건가요?,판매하는 곳이 있으면 구매하셔서 사용하셔도 됩니다.
,
하긴.. 인터넷에도 요즘 잘 안팔더라고요.,현재 상황에선 마스크 요일제에 따라 정해진 요일에 약국에서 사시는게 저렴하고 안전한 방법이라고 생각됩니다.
,
네 알겠습니다.. ,더 필요하신 부분 있으신가요?
,
아니요 없어요. 고생하세요.,네 감사합니다.
,
코로나 예방에 좋은 약이 비타민C인가요?,영양제가 코로나를 예방한다는 근거는 보고된바 없습니다. 
,
사람들은 헛 소문으로 사먹는 거예요?,건강보호 목적으로 섭취하시는 것 같습니다. 
,
비타민c로 코로나 환자 치료도 한다던데요?,코로나 치료약을 만들기 위한 시도 중 하나이지만 효과가 있다고 발표되지 않았습니다. 
,
그럼 먹으면 안먹는거보다 좋긴 한거죠?,"코로나 에방, 치료와의 연관성은 밝혀진 것이 없습니다. "
,
백신이 빨리 만들어져야겠네요.,백신 연구 중에 있습니다. 
,
언제 만들어져요?,연구 중에 있는 관계로 확실한 시기는 알 수 없습니다.
,
만들어지면 독감예방주사처럼 바로 가서 다 맞는거예요?,맞는 시기와 연령에 대해선 아직 논의가 이루어지지 않았습니다. 
,
그것도 어린이랑 노인분들만 무료로 맞춰주나요?,백신 무료 접종 여부에 대해서도 논의가 이루어지지 않았습니다. 
,
알겠습니다. ,더 궁금한 점 있으십니까?
,
"아니요, 없어요.","네, 감사합니다."
,
꿀 먹으면 코로나 예방에 도움 되나요? ,꿀이?코로나를 예방한다는 근거 없습니다. 
,
코로나 예방된다고 꿀 판다는 광고 많이 하던데요?,사실 확인이 되지 않은 과대광고일 수 있습니다. 
,
그럼 신고도 되나요?,과대광고로 신고 가능합니다.
,
어디다 해야돼요?,소비자보호원에서 가능합니다. 
,
그럼 먹으면 코로나 감염 예방에 도움되는 음식은 뭐가 있을까요?,음식과 예방 관계가 증명된 것은 없습니다. 
,
그럼 뭘 먹든 상관없는거네요.,면역력을 키울 수 있는 음식을 드시는 것이 좋을 것같습니다. 
,
면역력에 좋은게 뭐가 있을까요?,영양소를 골고루 섭취하는 것을 권합니다.
,
또요? 또 뭘하면 코로나에 안걸리수 있을까요?,"불필요한 외출, 만남은 피하고 개인 방역에 힘써 주시기 바랍니다. "
,
마스크 쓰고 손씻기 잘하는 거요?,"네, 그렇습니다. "
,
알겠습니다.,즐거운 하루되세요.
,
코로나 예방에 대해서 문의하고 싶은데요.,어떤 점이 궁금하신가요?
,
어떻게 해야할지 잘 몰라서요.,우선 개인이 실천할수 있는 가장 바른 방법은 개인방역수칙을 지키는 것입니다.
,
개인 방역수칙이 뭔가요?,우선 아프면 3~4일 집에 머무셔야 합니다.
,
접촉을 최대한 줄이라는 건가요?,네. 코로나는 증상이 가벼운 초기에도 전염될 수 있으니 조심하는 것이 좋습니다.
,
밖에서는 보통 어느정도 거리를 두는게 좋은가요?,2m 이상 거리를 두시면 감염 가능성을 줄일 수 있습니다.
,
아는 사람과 악수하는 것도 안되나요?,접촉은 피하시는 것이 좋습니다.
,
공공장소에는 지켜야 할게 뭐가 있을까요?,손을 자주 꼼꼼히 씻고 기침할 때 옷소매로 가리는 것이 좋습니다.
,
손소독제도 사용하는 것이 좋나요?,네. 그렇습니다.
,
환기는 시키는게 좋은가요?,"매일 2번 이상 환기하고, 주기적으로 소독하는 것이 안전합니다."
,
네 친절히 알려주셔서 감사합니다.,네 편안한 오후 되시길 바랍니다~
,
코로나 때문에 손씻는게 습관이 됐는데요. ,네 고객님
,
아니 나라에서 손 잘 씻으라면서 왜 지하철 화장실에 비누가 없어요?,어느 지하철 역인가요?
,
잠실역이요.,네 채워놓도록 연락하겠습니다. 
,
네 감사합니다. ,또 궁금한 점 있으신가요?
,
근데 화장실 중에 액체 비누 말고 고체 비누 쓰느데 있잖아요. ,네 말씀하세요. 
,
고체 비누 쓰기 찝찝하더라고요 이사람 저사람 다 만진건데..,고체 비누로인한 감염을 우려하시는 건가요?
