,고객질문(요청),상담사답변
271,그럼 먹으면 코로나 감염 예방에 도움되는 음식은 뭐가 있을까요?,보건소는 의심환자만 정부지원으로 무료로 가능합니다
272,면역력에 좋은게 뭐가 있을까요?,네 환자분 자부담으로 하셔야합니다
273,또요? 또 뭘하면 코로나에 안걸리수 있을까요?,병원마다 가격은 다릅니다만 7만원~20만원한다고 합니다
274,코로나 예방에 대해서 문의하고 싶은데요.,대림동쪽 코로나 비용이 저렴한곳은 한림대학병원입니다
275,개인 방역수칙이 뭔가요?,병원측에 문의하셔서 시간예약을 하시고 가시는것이 좋습니다
276,접촉을 최대한 줄이라는 건가요?,"네, 그렇습니다."
277,밖에서는 보통 어느정도 거리를 두는게 좋은가요?,"네, 특별한 경우가 아니라면 마스크 착용 하셔야 합니다."
278,아는 사람과 악수하는 것도 안되나요?,그렇다 하도라도 마스크는 착용하셔야 합니다.
279,공공장소에는 지켜야 할게 뭐가 있을까요?,마스크 착용시 호흡이 어려운 호흡기기저질환 환자는 예외입니다.
280,손소독제도 사용하는 것이 좋나요?,마스크 착용 시 건강이 악화 될 수 있는 중증환자도 예외입니다.
281,환기는 시키는게 좋은가요?,전문의의 소견이 있어야 예외로 인정 할 수 있습니다.
282,코로나 때문에 손씻는게 습관이 됐는데요. ,"네, 그렇습니다."
283,진짜요? ,"네, 맞습니다."
284,코로나 감염 예방 위해 손 씻기 하잖아요.,네 말씀하세요.
285,외출 후 손만 잘 씻으면 돼요?,의료용 마스크의 경우 일회용으로 착용하시고 버리시는걸 권장드립니다.
286,바이러스가 얼굴이나 다른 피부에는 안 묻어요?,마스크가 없으신 경우에는 이틀도 사용 하셔도 괜찮습니다.
287,근데 왜 티비보면 맨날 손 씻는 얘기만 해요?,네 맞습니다 마스크의 주름이 아래를 향하도록 하고 콧대 부분이 고정될 수 있도록 착용하셔야합니다.
288,손으로 여기 저기 만지니까요?,비말이나 먼지가 주름을 타고 내려가도록 해야하는데 반대로 착용하실 경우 비말이나 먼지가 주름사이에 끼어 있을 수 있습니다.
289,손이나 피부에 바이러스가 묻는거 만으로 감염되는건 아니죠?,마스크 앞쪽을 만지지 마시고 귀쪽 고리를 잡고 빼시면 됩니다.
290,"그래서 손으로 눈이나 코, 입 만질까봐 씻으라고 하는 거군요?",마스크 표면에는 감염된 타인의 비말이 묻어 있을 수 있는데 그걸 손으로 만진 뒤 눈코입등을 만지면 비말감염이 될 수 있습니다.
291,"그럼 손씻고 세수 안한 얼굴 만지고 눈, 코, 입 만지는 것도 위험한 행동이네요.",웹사이트에서 검색하시면 아실 수 있으시고 질병관리청 홈페이지에도 게시될 수 있도록 하겠습니다.
292,마스크 의무착용 해야된다는 기사를 봤는대요 언제부터 시행되나요 ,네 감사합니다.
293,아 그래요 ,마스크 구매 안내해드리겠습니다.
294,마스크 의무착용에 대한 세부적인 내용을 알 수 있을까요 ,마스크는 주민번호 끝자리에 따라 지정된 날짜에 인당 2매씩 구매하실 수 있습니다.
295,그러면 입만가리거나 턱스크도 미착용인거에요 ,네 맞습니다.
296,벌금은 얼마나 나오나요 ,현재 마스크 공급량이 부족하여 마스크 요일제를 시행하고 있습니다.
297,유치원생 아이가 있는데 간혹 답답하다고 마스크를 벗어요 이런아이들에게도 벌금적용이 되는거에요 ,하루마다 새 마스크를 착용하지 않으셔도 비말 차단이 가능하다고 안내하고 있습니다.
298,밖에 외출시 주변에 아무도 없는데 잠깐이라도 내리는게 안되나요 ,약국에서 판매되고 있습니다.
299,안녕하세요 ,판매하는 곳이 있으면 구매하셔서 사용하셔도 됩니다.
300,코로나를 예방할 수 있는 방법이 있나요 ,현재 상황에선 마스크 요일제에 따라 정해진 요일에 약국에서 사시는게 저렴하고 안전한 방법이라고 생각됩니다.
301,예방이라하면 예방접종을 말씀하시는건가요 ,네 감사합니다.
302,구체적으로 어떤 예방법 말씀이신가요 ,영양제가 코로나를 예방한다는 근거는 보고된바 없습니다. 
303,코로나예방에 좋은 음식은 없을까요 ,건강보호 목적으로 섭취하시는 것 같습니다. 
304,걷기운동도 도움이 될까요 ,코로나 치료약을 만들기 위한 시도 중 하나이지만 효과가 있다고 발표되지 않았습니다. 
305,홍삼이나 비타민등 건강보조식품도 도움이 될까요 ,"코로나 에방, 치료와의 연관성은 밝혀진 것이 없습니다. "
306,코로나에 안걸리려면 또 조심해야 할것들이 있을까요 ,백신 연구 중에 있습니다. 
307,코로나 백신이나 치료약은 개발되고 있나요 ,연구 중에 있는 관계로 확실한 시기는 알 수 없습니다.
308,언제쯤 시중에 나올 수 있을까요 ,맞는 시기와 연령에 대해선 아직 논의가 이루어지지 않았습니다. 
309,뉴스에서 미국 트럼프대통령이 코로나에 감염되었고 3일만에 퇴원했다는 보도를 봤는데 그렇게 빨리 완치가 가능한가요 ,백신 무료 접종 여부에 대해서도 논의가 이루어지지 않았습니다. 
310,기사에서 트럼프대통령에게 렘데시비르를 투약했다는데 치료약인가요 ,"네, 감사합니다."
311,주사약인가요 ,꿀이?코로나를 예방한다는 근거 없습니다. 
312,우리나라에서는 사용이 안되나요 ,사실 확인이 되지 않은 과대광고일 수 있습니다. 
313,코로나환자중 우리나라에서도 투약받은 사람이 있나요,과대광고로 신고 가능합니다.
314,코로나환자 모두 투약받는건가요 ,소비자보호원에서 가능합니다. 
315,그럼 어떤 환자에게 투약하는건가요 ,음식과 예방 관계가 증명된 것은 없습니다. 
316,렘데시비르는 어느나라에서 개발된건가요 ,면역력을 키울 수 있는 음식을 드시는 것이 좋을 것같습니다. 
317,제약회사 이름은 뭔가요 ,영양소를 골고루 섭취하는 것을 권합니다.
318,마스크 의무착용 해야된다는 기사를 봤는대요 언제부터 시행되나요 ,"불필요한 외출, 만남은 피하고 개인 방역에 힘써 주시기 바랍니다. "
319,아 그래요 ,"네, 그렇습니다. "
320,마스크 의무착용에 대한 세부적인 내용을 알 수 있을까요 ,즐거운 하루되세요.
321,그러면 입만가리거나 턱스크도 미착용인거에요 ,우선 개인이 실천할수 있는 가장 바른 방법은 개인방역수칙을 지키는 것입니다.
322,벌금은 얼마나 나오나요 ,우선 아프면 3~4일 집에 머무셔야 합니다.
323,유치원생 아이가 있는데 간혹 답답하다고 마스크를 벗어요 이런아이들에게도 벌금적용이 되는거에요 ,네. 코로나는 증상이 가벼운 초기에도 전염될 수 있으니 조심하는 것이 좋습니다.
324,밖에 외출시 주변에 아무도 없는데 잠깐이라도 내리는게 안되나요 ,2m 이상 거리를 두시면 감염 가능성을 줄일 수 있습니다.
325,안녕하세요 ,접촉은 피하시는 것이 좋습니다.
326,코로나를 예방할 수 있는 방법이 있나요 ,손을 자주 꼼꼼히 씻고 기침할 때 옷소매로 가리는 것이 좋습니다.
327,예방이라하면 예방접종을 말씀하시는건가요 ,네. 그렇습니다.
328,구체적으로 어떤 예방법 말씀이신가요 ,"매일 2번 이상 환기하고, 주기적으로 소독하는 것이 안전합니다."
329,코로나예방에 좋은 음식은 없을까요 ,네 편안한 오후 되시길 바랍니다~
330,걷기운동도 도움이 될까요 ,네 고객님
331,홍삼이나 비타민등 건강보조식품도 도움이 될까요 ,네 채워놓도록 연락하겠습니다. 
332,코로나에 안걸리려면 또 조심해야 할것들이 있을까요 ,네 말씀하세요. 
333,코로나 백신이나 치료약은 개발되고 있나요 ,고체 비누로 인한 감염은 되지 않습니다. 
334,언제쯤 시중에 나올 수 있을까요 ,네 거품을 내서?30초 이상 흐르는 물에 씻으면 문제 없습니다. 
335,뉴스에서 미국 트럼프대통령이 코로나에 감염되었고 3일만에 퇴원했다는 보도를 봤는데 그렇게 빨리 완치가 가능한가요 ,물로만 씻는 것 보다는 고체 비누로 씻는 것이 감염 예방에 훨씬 효과적입니다. 
336,기사에서 트럼프대통령에게 렘데시비르를 투약했다는데 치료약인가요 ,감사합니다. 
337,주사약인가요 ,외출 후 손을 비누로 흐르는 물에 30초 이상 씻어주세요. 
338,우리나라에서는 사용이 안되나요 ,다른 피부에서도 바이러스가 검출 될 수 있습니다.
339,코로나환자중 우리나라에서도 투약받은 사람이 있나요,손이 외부 환경에 가장 많이 노출되어 있기 때문입니다. 
340,코로나환자 모두 투약받는건가요 ,그렇습니다.
341,그럼 어떤 환자에게 투약하는건가요 ,"네 눈과 코, 입 등으로 들어갈 경우 감염됩니다. "
342,렘데시비르는 어느나라에서 개발된건가요 ,네 그렇습니다.
343,제약회사 이름은 뭔가요 ,네 외출 후에는 몸 전체를 씻으시는 것이 좋습니다. 
344,천으로 마스크 만들어서 써도 되나요?,네 건강 유의하세요.
345,그럼 KF80마스크 여러 번 써도 될까요?,현재 시행하고 있습니다 
346,잠깐씩 사용해도 버리나요?,마스크는 정확히 코입을 가리고 착용해야하며 실내 실외 모두 적용됩니다 
347,그럼 소독제나 알콜 뿌린 후 사용해야 하나요?,네 그렇습니다 미착용으로 간주 됩니다 
348,그럼 물로 딱아 쓰면요?,벌금은 10만원 입니다 
349,혹시 집안에서도 마스크 착용을 해야 하나요?,"아닙니다 만14세이하, 호흡기등 기저질환이 있는 사람은 제외 됩니다 "
350,확진자는 아니고 증상이 있을 경우에는요?,2m거리유지하시고 그정도는 괜찮습니다 
351,야외에서는 꼭 마스크 착용 해야겠네요,안녕하세요 
352,덴탈 마스크도 사용 가능한가요?,아니오
353,마스크는 어떻게 버리나요?,네 면역력에 좋은 음식을 섭취하실것을 권장 드립니다 
354,숨쉬기가 곤란한데 꼭 마스크를 써야 하나요?,네 규칙적인 생활과 적당한 운동은 건강에 도움이 됩니다
355,덴탈 마스크는 숨쉬기 좋나요?,면역력을 높여주는 음식이나 비타민등은 도움이 될 수 있습니다 
356,이것도 코 부분은도 써야하는거죠?,"외출시 마스크 착용하시고 카페,식당등 실내에서 오래 머무리지 마시기 바랍니다 "
357,안과 겉 구별이 힘든데 어떻게 구별하나요?,네 여러 나라에서 연구 개발 중입니다 
358,반대로 쓰면 어떻게 되나요?,아직 연구 개발 중이기 때문에 시일을 말씀드리긴 어렵습니다 
359,중국산이 싸던데 상관없죠?,네 사람마다 상태에따라 완치 시기는 다를 수 있습니다 
360,그럼 중국산말고 국산은 인증 된 제품인가요?,치료약은 아닙니다 
361,KC 인증과 동일 한건가요?,렘데시비르는 바이러스가 몸안에서 증식하는것을 막는다고 합니다 
362,그럼 쓰면 안 되는건가요?,네 
363,개인방역에서 손씻기를 강조하잖아요.,국내에서도 사용 되고 있습니다 
364,손씻기 열심히 하라면서 왜 지하철 화장실에 비누가 없어요?,네 있습니다 
365,그런데 가끔 보면 고체 비누가 비치된데가 있잖아요.,아닙니다 
366,누가 만졌던 비누 만지기 엄청 찝찝하거든요,의사의 판단하에 투약되며 코로나 중증환자에게 투약하고 있습니다 
367,정말요?,미국입니다 
368,수고하십니다 코로나에 관해 질문좀 드릴께요?,길리어드사이언스 입니다 
369,혹시 검사를 좀 받고 싶은데 검사비용이 생기겠죠?,현재 시행하고 있습니다 
370,얼마죠?,마스크는 정확히 코입을 가리고 착용해야하며 실내 실외 모두 적용됩니다 
