q,a
그렇군요.,백신이 빨리 유통이 됐으면 좋겠네요.
백신이 나오면 마스크를 벗을수 있을까요?,개발되어도 당분간은 마스크를 착용해야 할것같아요.
제가 외국인인데 입원치료비를 지원받을 수 있나요?,지금 격리입원치료중이신가요?
"네,",그럼 국고부담으로 질병관리본부에서 지원받으실 수 있습니다.
몇 일간 지원받을 수 있어요?,격리입원치료 명령이 시작된 날부터 해제된 날까지 지원됩니다.
코로나 완치 후 합병증이 생겼는데 뭐 지원받는거 없나요?,어떤 합병증이생기셨나요?
당뇨랑 천식이 심해졌어요.,죄송하지만 격리해제일 이후에는 지원 불가합니다.
심장질환 악화는요?,지원 불가합니다.
치료비 외에 지원은 받을 수 없다는건가요?,격리입원치료비 대상자는 생활지원비가 중복지원가능하십니다.
진단검사비도 받을수 있겠네요?,진단검사비는 격리입원치료비에 포함되어 있어서 중복지원 불가입니다.
그럼 유급휴가는?,유급휴가비와 생활지원비는 중복 지원 불가입니다.
지금 코로나 때문에 장사도 안되고 진짜 죽겠어요. 뭐 지원해주는거 없어요?,자영업에 종사중이신가요?
"네, 치킨집해요.",정부에서 지원금을 지원하고자 노력중입니다.
정책나온거 없어요?,현재 자영업자와 소상공인을 대상으로 100만원을 지원할 예정입니다.
신청기간이 언제예요?,신청기간은 10월 말입니다.
정부에서 코로나지원금으로 통신비를 준다는데 저도 받을 수 있어요?,"네, 통신비는 지원됩니다 하지만 지원대상이 정해져 있습니다."
다주는거 아니예요?,"네, 연령제한이 있습니다."
저 30살인데요?,그럼 통신비를 지원받으실 수 있습니다.
어떻게 지원받아요?,10월에 청구되는 9월 사용분 통신비에 반영됩니다.
내 나이가 67세인데 통신비 지원 받을 수 있을까 해서요,"네,65세 이상이시면 지원받으실 수 있습니다."
근데 통신비가 뭔데요?,본인 명의의 핸드폰비를 지원해드리는 겁니다.
그럼 집전화는?,집전화는 해당되지 않습니다.
통신비 지원받게 어떻게 신청하면 되지요?,별도의 신청없이 일괄 적용 됩니다.
신청을 안해도 된다구요?,"네, 9월 요금에 반영되서 요금이 청구될겁니다."
근데 그럼 우리 딸도 받을 수 있나 확인 좀 해줘요,따님분 연령이 어떻게 되세요?
우리딸 32살입니다.,"네, 만16~34세에 해당 되셔서 지원 받으실 수 있어요."
아이고 잘됬네요.,더 궁금하신거 있으세요?
정부에서 통신비 지원해준다고 하는데 제가 다회선 사용자인데 그럼 어떻게 지원되요?,통신비 지원은 명의당 1인당 1회선에 한해 지원됩니다.
그럼 다회선이라도 1회밖에 지원받을 수 없다는 말인가요?,"네, 다회선 사용자의 경우 후불가입으로 개통된 휴대전화로 우선 적용됩니다."
후불가입이요?,"네, 후불가입이 여러 회선일 경우 사용중지가 아닌 회선 중 가입일자가 가장 오래된 회선이 적용됩니다."
제가 받고싶은 통신사가 있는데 변경 안되나요?,"네, 어렵습니다"
왜죠?,이용자의 편의를 위해 신청절차 없이 일괄로 적용되는 사항으로 개인별로 선호하는 통신사에 통신비 지원이 되지 않는 점은 양해 부탁드립니다
그럼 통신비 금액이 2만원 미만이면 어떻게 되요?,2만원 미만시 이월 등의 방법으로 최대한 보장해드릴 예정입니다.
근데 명의변경 방법이 있어요?,명의변경기간에 명의를 변경하시면 됩니다.
명의변경 기간이 언제인데요?,명의변경 기간은 9월 28일~10월 15일입니다.
뭐 챙겨가야되요?,명의 양도자나 양수인 중 아무나 한분만 신분증과 간단한 증빙서류를 갖고 가까운 대리점에 방문하시면됩니다.
통신비 지원 받기 위해서 명의 좀 변경하고 싶은데 증빙서류가 있나요?,"네, 있습니다."
"아니요, 몰라요.","명의변경 기간은 10월 15일까지이고 증빙서류는 가족관계증명서, 건강보험증, 주민등록등본, 기본증명서 등이 필요합니다."
근데 선불폰인데 선불폰도 지원되요?,선불폰도 통신비 지원 대상입니다.
어떻게 지원받을 수 있어요?,2만원에 준하는 요금으로 충전될 예정입니다.
핸드본 번호이동하면 통신비 못받아요?,9월 중에 통신사 변경이 발생할 경우에도 지원대상에서 누락되는 일이 없도록 지원할 예정입니다.
저는 핸드폰이 없는데 통신비 어떻게 지원되요?,이번 통신비는 비대면 활동 증가에 따른 부담 경감을 위해 지원해 드리는 정책이므로 이용 중인 분들을 대상으로 하는점 양해 부탁드립니다.
그럼 저는 못받아요?,"네, 이용중이시지 않으시면 지원받으실 수 없습니다."
통신비 지원 대신 휴대폰 소액결제를 이용한 것에 대해서 지원받을수 있어요?,이동통신요금만 지원받으실수 있습니다.
그래서 안되요?,"네, 소액결제의 경우 휴대폰 인증을 통해 구매한 것으로 지원되지 않습니다."
단말기 할부금도 지원안되요?,"네, 단말기 할부금의 경우에도 통신요금에 해당하지 않어 지원받기 어려우십니다."
통신비 지원에 대해 안내받을 수 있는 사이트 있나요?,통신비정부지원안내센터 사이트에서 확인 가능하십니다.
"아니요, 없어요","네, 감사합니다."
사회적 거리가 뭔가요?,코로나 확진자가 급증하면서 지역사회 감염 차단을 위해 실시된 정부의 권고 수칙입니다.
그럼 사회적 거리가 실행되면 어떻게 되요?,"많은 사람들이 모이는 행사 및 모임 참가 자제, 외출자제, 재택근무 확대 등이 실시됩니다."
그럼 사회적 거리두기는 몇 단계까지 있는데요?,3단계까지 있습니다.
지금은 몇 단계인데요?,현재는 2단계 입니다.
저 취업성공패키지 참여했는데 청년특별구직지원금 신청가능해요?,"네, 신청가능하십니다."
얼마나 지원되요?,청년특별구직지원금은 1회 50만원 지급됩니다.
또 다른지원은 없어요?,"취업 상담이나 알선, 취업훈련 등 취업지원서비스를 제공받으실 수 있습니다."
어디서 신청해요?,온라인청년센터 홈페이지에서 신청과 접수하실 수 있습니다.
"아니요,? 제출서류도 있어요?","네, 제출서류는 통장사본과 개인정보제공동의서 입니다."
근데 언제 돈 들어와요?,신청기간에 따라 다릅니다.
지금 신청하면 12월 전에 받아요?,"네, 지금은 2차 신청기간이므로 11월 말까지 지급받으실 수 있습니다."
근데 신청인원이 너무 많으면 못받을 수도 있나요?,"네, 현재까지 지원 목표인원은 20만명입니다 빠른 신청하시길 바랍니다."
진료소는 어디로 가면 될까요?,진료소 알아봐드리겠습니다
발산1동입니다,발산1동에서 가장 가까운 선별진료소는 이대서울병원입니다
이대서울병원은 어디로가서 진료하나요?,이대서울병원 중앙입고에서 열체크와 간단설문응답하시고 안내받으시면 됩니다
진료시간은 아무때나 가도 되는건가요?,"서울이대병원 선별진료소는 점심시간외 오전,오후 정해진 예약인원에 한래 진료가 가능합니다"
이대병원도 드라이브스루로 검사하나요?,네. 이대서울병원은 도보용 진료소와 드라이브스루 선별진료소가 따로 1개소씩 운영중입니다
코로나 검사결과는 얼마나 걸리나요?,검사결과는 6시간 정도 소요되지만 대기시간에 따라 1~2일이내에 결과 확인가능합니다
가족들도 함께 검사해야할까요?,아닙니다 우선 고객님 증상 유무여부후에 조치하시면됩니다
코로나 백신에 대하여 궁급하니다.,네 어떤것을 도와드릴까요?
지금 백신 만들어 졌나요?,현재 저희 나라뿐만 아니라 해외에서 개발중 입니다. 
최근 기사에서 임상실험 들어갔다고 하던데 아직 안나온건가요?,아직 확실한 백신은 발표되지 않았습니다.
그걸 언제 만들어질까요?,일단 백신이 개발되면 정부에서 바로 안내를 해드릴겁니다. 
그럼 국내 백신 개발은 얼마나 됐나요?,아직 국내에서도 실험 단계에 있습니다. 
그럼 내년에 백신이 나올까요?,현재로썬 알수가 없습니다. 
그럼 계속 코로나때문에 마스크 쓰고 살아야 하나요?,"예.마스크 착용 부탁드리며, 정부도 백신이 나오기 전까진 방역에 총력을 기울이고 있습니다. "
코로나 한번걸리면 완치되도 부작용도 많다던데 사실인가요?,많은 사례가 있습니다만 부작용은 극히 일부입니다. 
폐도 완전히 망가지고 병자처럼 산다고 하던데요.,코로나 예방을 위하여 마스크 착용 및 손소독 부탁드립니다. 
아휴 답답해 죽겠네요. 백신이나 빨리 만들어주세요.,네 건강 유의하십시오. 
저희아이 2달후에 돌인데 돌잔치 진행해도 되나요?,현재로서는 가능하지만 50명이상의 많은 인원이 모이는 공공장소의 행사가 금지되어 있습니다 
두달후에 3단계로 바뀌면 어떻게 되나요?,3단계시 10인이상 집합이 금지되기때문에 취소해야할 수도 있습니다. 
지금 상황으로 볼때 3단계로 변경될 가능성 있나요?,확진추세에 따라 결정되기 때문에 현재로선 알수 없습니다. 
지금은 몇명이상 가능해요?,현재는 50인 이상 가능합니다. 
만약 취소하게 되면 환불위약금 안내도 되나요?,죄송합니다. 그 부분은 돌잔치업체와 통화해 보셔야 합니다.
코로나 때문에 돌잔치도 제대로 못하는데 위약금도 낼수 있다는거네요?,예. 현재상황으로선 그렇습니다 
또 다른 주의사항이 있나요?,따로 소규모로 진행시 테이블간 거리두기도 해야합니다. 
일단 알겠습니다.,네 감사합니다. 
저까지 5명이요.,휴업수당 신청 하실수 있습니다.
미국 화이자에서 코로나 백신 만들어졌다는거 진짜예요? ,"네, 오늘 발표 되었습니다."
지금 승인이 난건가요?,아직 승인전입니다. 11월 셋째주 FDA 긴급사용승인 신청예정입니다.
임상 실험도 끝난 건가요? ,발표한 바로 1만명 임상단계를 거쳤다고 합니다
백신은 1회 접종인가요?,2회 접종으로 알려져 있습니다.
미국은 상용화 되나요?,올해 2천만명 분을 제조한다고 합니다.
그거 판매되면 우리나라도 그거 사나요?,해외 백신 확보를 위한 논의가 이루어지고 있습니다. 
우리나라에 오려면 내년은 되야겠네요?,안전성과 효험이 입증되는 시간이 필요합니다.
부작용이 있나요?,아직 알려지지 않았습니다.
우리나라는 어느 회사가 백신 개발을 하고 있나요?,"국내에서는 제넥시,SK바이오사이언스,진원생명과학등이 개발중에 있습니다."
임상 들어갔나요?,임상 시작전이거나 초기단계인것으로 보고되고 있습니다.
제가 이번에 코로나 걸려서 입원을 하게 되었는데 궁금한 거 여쭤봐도 될까요?,네. 어떤게 궁금하신가요?
입원한 기간 내내 치료비가 지급되는 건가요?,그건 아닙니다. 최대 3일까지만 지원해드리고 그 다음부턴 자비로 해결하셔야 합니다.
